file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_AB00702_0193_1409701_to_1415810,གཞི་རྩའི་གནས་རིམ་དུ་འཇིག་རྟེན་འདི་ངེས་མེད་ཆོས་ཉིད་ཀྱི་དབང་དུ་འགྲོ་བའི་གཟུགས་ཅན་དུམ་བུའམ་ ,gzhi rtsa'i gnas rim du 'jig rten 'di nges med chos nyid kyi dbang du 'gro ba'i gzugs can dum bu'am _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00702_0193_1409701_to_1415810.wav,STT_AB,2,89,6.109,wav16k/STT_AB00702_0193_1409701_to_1415810.wav,གཞི་རྩའི་གནས་རིམ་དུ་འཇིག་རྟེན་འདི་ངེས་མེད་ཆོས་ཉིད་ཀྱི་དབང་དུ་འགྲོ་བའི་གཟུགས་ཅན་དུམ་པོའམ་
STT_AB00702_0175_1290179_to_1295998,གནས་སྐབས་འདིར་རྩིས་རིག་གི་མཚུངས་རྩིས་དང་དངོས་ཁམས་ཀྱི་ཆོས་ཉིད་མཐའ་དག་ལ་ནུས་རྩོལ་སྟོང་ཞིང་།  ,gnas skabs 'dir rtsis rig gi mtshungs rtsis dang dngos khams kyi chos nyid mtha' dag la nus rtsol stong zhing /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00702_0175_1290179_to_1295998.wav,STT_AB,2,91,5.819,wav16k/STT_AB00702_0175_1290179_to_1295998.wav,གནས་སྐབས་འདིར་རྩིས་རིག་གི་ཚོང་བརྩི་དང་དངོས་ཁམས་ཀྱི་ཆོས་ཉིད་མཐའ་དག་ལ་ནུས་ཚོད་གཏོང་ཞིང་།
STT_MV0081_0281_2062169_to_2070269,མ་བོས་གོང་ལ་ཁྱེད་ཚོས་གང་གི་དོན་དུ་རྩོད་པ་ཤོར་བ་དང་འཛིང་རེས་གཏང་འདོད་གང་ཡིན་མིན་ ,ma bos gong la khyed tshos gang gi don du rtsod pa shor ba dang 'dzing res gtang 'dod gang yin min _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0081_0281_2062169_to_2070269.wav,STT_MV,2,80,8.1,wav16k/STT_MV0081_0281_2062169_to_2070269.wav,མ་བོས་གོང་ལ་ཁྱེད་ཚོས་གང་གི་དོན་དུ་རྩོད་པ་ཤོར་པ་དང་འཛིང་བརས་གཏང་དོད་གང་ཡིན་མིན་
STT_AB00702_0179_1312839_to_1315207,ཞིབ་འཇུག་ལ་མཚུངས་རྩིས་བཀོལ་སྤྱོད་དང་།  ,zhib 'jug la mtshungs rtsis bkol spyod dang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00702_0179_1312839_to_1315207.wav,STT_AB,2,39,2.368,wav16k/STT_AB00702_0179_1312839_to_1315207.wav,ཞིབ་འཇུག་ལ་ཚུངས་རྩིས་བཀོལ་སྤྱོད་དང་
STT_TT00852_0171_1271612_to_1274616,དེ་ནང་བཞིན། དེ་ལ་དོགས་པ་ཡོད་ཡ་ཅིག་ག་རེ་འདུག་ཟེར་ན།  ,de nang bzhin/_de la dogs pa yod ya cig ga re 'dug zer na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00852_0171_1271612_to_1274616.wav,STT_TT,2,52,3.004,wav16k/STT_TT00852_0171_1271612_to_1274616.wav,དེ་ནང་བཞིན་དེ་ལ་དོགས་པ་ཡོད་ཡ་ཅིག་ག་རེ་འདུག་ཟེར་ན།
STT_MV0081_0260_1944097_to_1949027,ད་ག་ཡིན། སྐུ་ངོ་པའོ་ལགས་ཀིས་ཁོ་ཁྲིམས་གཅོད་ནན་པོ་གཅད་རོགས་ཞུ་གི་ཡིན།  ,da ga yin/_sku ngo pa'o lags kis kho khrims gcod nan po gcad rogs zhu gi yin/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0081_0260_1944097_to_1949027.wav,STT_MV,2,69,4.93,wav16k/STT_MV0081_0260_1944097_to_1949027.wav,ད་ག་ཡིན། སྐུ་ངོ་པའོ་ལགས་ཀིས་ཁོ་ཁྲིམས་གཅོད་ནན་པོ་གཅད་རོགས་ཞུ་གི་ཡིན།
STT_TT00852_0176_1305362_to_1312281,ཨེ་ནས། དེའི་སྒང་ལ། བདག་གཞིའི་ངོས་ནས་ཡོད་མེད་བཙལ་ཟེ། ཟེར་ཡ་དེ། དེ་ཕ་གི་ད་ལྟ།  ,e nas/_de'i sgang la/_bdag gzhi'i ngos nas yod med btsal ze/_zer ya de/_de pha gi da lta/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00852_0176_1305362_to_1312281.wav,STT_TT,2,77,6.919,wav16k/STT_TT00852_0176_1305362_to_1312281.wav,ཨེ་ནས་ དེའི་སྒང་ལ་གདགས་གཞིའི་ངོས་ནས་ཡོད་མེད་བཙལ་ཟེ་ཟེར་ཡ་དེ། དེ་ཕ་གི་ད་ལྟ།
STT_AB00702_0182_1321991_to_1324359,ནུས་རྩོལ་འཇིག་རྟེན་གྱི་ཐོག་མའི་གནས་རིམ་དུ་ ,nus rtsol 'jig rten gyi thog ma'i gnas rim du _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00702_0182_1321991_to_1324359.wav,STT_AB,2,43,2.368,wav16k/STT_AB00702_0182_1321991_to_1324359.wav,ནུ་ཚོལ་འཇིག་རྟེན་གྱི་ཐོག་མའི་གནས་རིམ་དུ་
STT_AB00702_0186_1354343_to_1362994,ད་བར་དུ་ང་ཚོས་རྙེད་ཟིན་པའི་དངོས་ཁམས་ཀྱི་ཆོས་ཉིད་མཐའ་དག་གཅིག་སྒྲིལ་བྱེད་པའི་རྣམ་གཞག་གསར་པ་ཞིག་འཚོལ་རྒྱུ་ལ་རག་ལས་པར་འདོད།  ,da bar du nga tshos rnyed zin pa'i dngos khams kyi chos nyid mtha' dag gcig sgril byed pa'i rnam gzhag gsar pa zhig 'tshol rgyu la rag las par 'dod/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00702_0186_1354343_to_1362994.wav,STT_AB,2,121,8.651,wav16k/STT_AB00702_0186_1354343_to_1362994.wav,ད་བར་དུ་ང་ཚོས་གཉིས་ཟིན་པའི་དངོས་ཁམས་ཀྱི་ཆོས་ཉིད་མཐའ་དག་གཅིག་སྒྲིལ་བྱེད་པའི་རྣམ་གཞག་གསར་པ་ཞིག་འཚོལ་རྒྱུ་ལ་རག་ལས་པར་འདོད།
STT_MV0081_0270_1997516_to_2007515,དམག་དཔོན་ཆེན་མོ་དང་འབྲེལ་བ་ཡོད་མ་རེད། འབྲེལ་བ་མེད་ན་དམག་དཔོན་ཆེན་མོ་སྐུ་ངོ་མས་གསུང་ག་ཕེབས་ཡ་ག་རེ་ཡིན་ན། ཨོ་འདི་ཨོ།  ,dmag dpon chen mo dang 'brel ba yod ma red/_'brel ba med na dmag dpon chen mo sku ngo mas gsung ga phebs ya ga re yin na/_o 'di o/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0081_0270_1997516_to_2007515.wav,STT_MV,2,116,9.999,wav16k/STT_MV0081_0270_1997516_to_2007515.wav,དམག་དཔོན་ཆེན་མོ་དང་འབྲེལ་བ་ཡོད་མ་རེད། འབྲེལ་བ་མེད་ན་དམག་དཔོན་ཆེན་མོ་སྐུ་ངོ་མས་གསུང་ག་ཕེབས་ཡ་ག་རེ་ཡིན་ན། ཨོདེ།
STT_AB00702_0183_1325934_to_1335930,ང་ཚོས་ངེས་པར་དུ་རང་ཉིད་ལ་འདྲི་དགོས་པ་ནི་ཐོག་མའི་སྐར་ཆ་འགའ་ཤས་ཀྱི་རིང་གི་འབར་གས་ཆེན་མོའི་གནས་ཚུལ་ཆ་ཚང་བ་ཞིག་ནམ་ཡང་རྟོགས་ཐུབ་བམ།  ,nga tshos nges par du rang nyid la 'dri dgos pa ni thog ma'i skar cha 'ga' shas kyi ring gi 'bar gas chen mo'i gnas tshul cha tshang ba zhig nam yang rtogs thub bam/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00702_0183_1325934_to_1335930.wav,STT_AB,2,128,9.996,wav16k/STT_AB00702_0183_1325934_to_1335930.wav,ང་ཚོས་ངེས་པར་དུ་རང་ཉིད་ལ་འབྲི་དགོས་པ་ནི་ཐོག་མའི་སྐར་ཆ་འགའ་ཤས་ཀྱི་རིང་གི་འབར་རྒྱལ་ཆེན་མོའི་གནས་ཚུལ་ཆ་ཚང་བ་ཞིག་ནམ་ཡང་རྟོགས་ཐུབ་བམ།
